|Name|Units|Description|
|Total Stream Count |Number of streams |Number media streams regardless of type of media, including reliability/diagnostics streams that might not have a media type. |
|Total CDR Available Stream Count | Number of streams |Number of media streams with reliability/diagnostics information available. See [Call detail recording (CDR) in Skype for Business Server](/skypeforbusiness/manage/health-and-monitoring/call-detail-recording-cdr) |
|Total Media Failed Stream Count |Number of streams |Number of streams where either media path couldn't be established or didn't terminate normally. |
|Total Call Setup Failed Stream Count |Number of streams |Number of streams where media path couldn't be established between the endpoints at the start of the call. |
|Total Call Dropped Stream Count |Number of streams |Number of streams where media path didn't terminate normally. |
|Total Media Succeeded Stream Count |Number of streams |Number of streams where media path was established and terminated normally. |
|Total Call Setup Succeeded Stream Count |number of streams |Number of streams where media path could be established between the endpoints at the start of the call.|
|Total Call Setup Failure Percentage |Percentage |Percentage of all streams where media path couldn't be established between the endpoints at the start of the call. |
|Total Call Dropped Failure Percentage |Percentage |Percentage of successfully established streams where media path didn't terminate normally.| 
|Total Answer Seizure Ratio |Ratio |Ratio of calls with duration less than 5 seconds over the total number of calls. |
|Total Short Call Percentage |Percentage |Percentage of total calls less than 1 minute long. |
|Total Media Failure Percentage |Percentage |Percentage of all streams where either media path couldn't be established or didn't terminate normally. |
|Media Failed Due To Firewall DPI Stream Count |Number of streams |Number of streams that failed to be established due to network equipment blocking access due to deep packet inspection not allowing Skype for Business traffic. These failures typically indicate a proxy, firewall or other network security device isn't correctly configured. These devices might be blocking access to the IP address and ports that are used by Skype for Business in Microsoft 365 or Office 365. |
|Firewall DPI Media Failure Percentage |Percentage |Percentage of streams that failed to be established due to network equipment blocking access due to deep packet inspection not allowing Skype for Business traffic. These failures typically indicate a proxy, firewall or other network security device isn't correctly configured. These devices might be blocking access to the IP address and ports that are used by Skype for Business in Microsoft 365 or Office 365. |
|Media Failed Due To Firewall IP Blocked Stream Count |Number of streams |Number of streams that failed to be established due to network equipment blocking access to Skype for Business servers. These failures typically indicate a proxy, firewall or other network security device isn't correctly configured. These devices might be blocking access to the IP address and ports that are used by Skype for Business in Microsoft 365 or Office 365. |
|Firewall IP Blocked Media Failure Percentage |Percentage |Percentage of streams that failed to be established because network equipment blocked access to Skype for Business servers. These failures typically indicate a proxy, firewall, or other network security device isn't correctly configured. These devices might be blocking access to the IP address and ports that are used by Skype for Business in Microsoft 365 or Office 365. |
| Media Failed Due To Other Stream Count|Number of streams| Number of streams where media path couldn't be established between the endpoints due to an undetermined/unclassified reason.|
| Other Media Failure Percentage|Percentage| Percentage of streams where media path couldn't be established between the endpoints due to an undetermined/unclassified reason. |
| Total CDR Available Call Count|Number of streams|Total number of calls with reliability/diagnostics information available. There's an up to 0.2% error for this measure. See note below for details.|
| Total Media Failed Call Count|Number of streams|Number of calls where media path couldn't be established between the endpoints. There's an up to 0.2% error for this measure. See note below for details.|
|Audio Stream Count |Number of streams |Number of audio streams. |
|Audio Poor Stream Count |Number of streams |Number of audio streams classified as poor based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
 |Audio Good Stream Count |Number of streams |Number of audio streams classified as good based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|Audio Unclassified Stream Count |Number of streams |Number of audio streams that didn't have sufficient data to be classified as good or poor based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Unclassified streams are omitted from 'Poor Percentage' calculations. |
|Audio Poor Percentage |Percentage |Percentage of classified audio streams that were classified as poor based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|Audio OnePercent PacketLoss Count |Number of streams |Number of audio streams with packet loss greater than 1%. |
|Audio OnePercent PacketLoss Percentage |Percentage |Percentage of all audio streams with packet loss greater than 1%. |
|Audio Poor Due To Jitter Count |Number of streams |Number of audio streams where the jitter metric exceeds thresholds listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|Audio Poor Due To PacketLoss Count |Number of streams |Number of audio streams where the packet loss metric exceeds thresholds listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md) |
|Audio Poor Due To Degradation Count |Number of streams |Number of audio streams where the degradation metric exceeds thresholds listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|Audio Poor Due To RoundTrip Count |Number of streams |Number of audio streams where the round trip exceeds thresholds listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|Audio Poor Due To ConcealedRatio Count |Number of streams |Number of audio streams where the concealed ratio exceeds thresholds listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|Audio SLA Good Call Count |Number of calls |Number of audio calls within scope of the Skype for Business Voice Quality SLA ([Volume Licensing for Microsoft Products and Online Services](https://aka.ms/voicequalitysla)) classified as meeting the network performance targets. |
|Audio SLA Poor Call Count |Number of calls |Number of audio calls within scope of the Skype for Business Voice Quality SLA ([Volume Licensing for Microsoft Products and Online Services](https://aka.ms/voicequalitysla)) classified as not meeting the network performance targets. |
|Audio SLA Call Count |Number of calls |Number of audio calls within scope of the Skype for Business Voice Quality SLA ([Volume Licensing for Microsoft Products and Online Services](https://aka.ms/voicequalitysla)). |
|Audio SLA Good Call Percentage |Percentage |Percentage of audio calls within scope of the Skype for Business Voice Quality SLA ([Volume Licensing for Microsoft Products and Online Services](https://aka.ms/voicequalitysla)) that were classified as meeting the network performance targets. |
|Audio Good Call Stream Count |Number of streams |Number of audio streams where both audio streams in the call (call-leg) aren't classified as poor based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|Audio Poor Call Stream Count |Number of streams |Number of audio streams where at least one audio stream in the call (call-leg) was classified as poor based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|Audio Unclassified Call Stream Count |Number of streams |Number of audio streams where both audio streams in the call (call-leg) couldn't be classified due to missing network metrics. |
|Audio Poor Call Level Percentage |Percentage |Percentage of all audio streams where at least one audio stream in the call (call-leg) was classified as poor based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
| Audio Call Count | Number |Number of calls involving audio. There's an up to 0.2% error for this measure. See note below for details.|
| Audio Poor Call Count|Number  |Number of calls involving audio classified as poor. There's an up to 0.2% error for this measure. See note below for details.|
| Audio Good Call Count |Number of calls|Number of calls involving audio classified as good. There's an up to 0.2% error for this measure. See notes below for details.|
| Audio Unclassified Call Count |Number of calls|Number of calls involving audio that couldn't be classified Good or Poor. Unclassified calls are omitted from 'Poor Call Percentage' calculations. There's an up to 0.2% error for this measure. See note below for details.|
| Audio Poor Call Percentage |Percentage of calls|Percentage of classified calls involving audio classified as poor. There's an up to 0.2% error for this measure. See note below for details.|
|AppSharing Stream Count |Number of streams |Number of RDP-based application sharing streams. |
|AppSharing Poor Due To SpoiledTilePercentTotal Count |Number of streams |Number of application sharing streams where the spoiled tile percent total metric exceeds thresholds listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|AppSharing Poor Due To RelativeOneWayAverage Count |Number of streams |Number of application sharing streams where the spoiled tile percent total metric exceeds thresholds listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|AppSharing Poor Due To RDPTileProcessingLatencyAverage Count |Number of streams |Number of application sharing streams where the RDP tile processing latency average exceeds thresholds listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|AppSharing Poor Stream Count |Number of streams |Number of application sharing streams classified as poor based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|AppSharing Good Stream Count |Number of streams |Number of application sharing streams classified as good based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|AppSharing Unclassified Stream Count |Number of streams |Number of application sharing streams that didn't have sufficient data to be classified as good or poor based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). Unclassified streams are omitted from 'Poor Percentage' calculations. |
|AppSharing Poor Percentage |Percentage |Percentage of classified application sharing streams that were classified as poor based on network metrics listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
|Video Stream Count |Number of streams |Number of video streams. |
|Video Poor Due To VideoPostFecplr Count |Number of streams |Number of video streams where the Video Post Fec plr exceeds thresholds listed here: [Stream Classification in Call Quality Dashboard](stream-classification-in-call-quality-dashboard.md). |
