Type,Category,Name,Description,Units,Possible Reasons for blank values
Dimension,Endpoint,First CPU Name,Name of the CPU used by the first endpoint. <br/> **Example value:** Contoso CPU X11 @ 1.80 GHz,,<br/>&bull; The endpoint didn't report this data
Dimension,Endpoint,Second CPU Name,Name of the CPU used by the second endpoint. <br/> **Example value:** Contoso CPU X11 @ 1.80 GHz,,<br/>&bull; The endpoint didn't report this data
Dimension,Endpoint,First CPU Number Of Cores,Number of CPU cores available on the first endpoint. <br/> **Example value:** 8,,<br/>&bull; The endpoint didn't report this data
Dimension,Endpoint,Second CPU Number Of Cores,Number of CPU cores available on the second endpoint. <br/> **Example value:** 8,,<br/>&bull; The endpoint didn't report this data
Dimension,Endpoint,First CPU Processor Speed,Speed in MHz of the CPU used by the first endpoint. <br/> **Example value:** 1800,,<br/>&bull; The endpoint didn't report this data
Dimension,Endpoint,Second CPU Processor Speed,Speed in MHz of the CPU used by the second endpoint. <br/> **Example value:** 1800,,<br/>&bull; The endpoint didn't report this data
Dimension,Endpoint,First Endpoint,Machine name reported by the first endpoint if the endpoint is a server or a cloud service client. <br/> **Example value:** MACHINENAME,,<br/>&bull; The endpoint didn't report this data
Dimension,Endpoint,Second Endpoint,Machine name reported by the second endpoint if the endpoint is a server or a cloud service client. <br/> **Example value:** MACHINENAME,,<br/>&bull; The endpoint didn't report this data
Dimension,Endpoint,First OS,Full Operating System and architecture string reported by the first endpoint. <br/> **Example value:** Windows 10.0.14996 SP: 0.0 Type: 1(Workstation) Suite: 256 Arch: x64 WOW64: True,,<br/>&bull; The endpoint didn't report this data
Dimension,Endpoint,Second OS,Full Operating System and architecture string reported by the second endpoint. <br/> **Example value:** Windows 10.0.14996 SP: 0.0 Type: 1(Workstation) Suite: 256 Arch: x64 WOW64: True,,<br/>&bull; The endpoint didn't report this data
Dimension,Endpoint,First OS Filtered,Operating System name and major and minor version reported by the first endpoint. This string can contain more than the OS name and version. <br/> **Example value:** Windows 10,,<br/>&bull; The endpoint didn't report this information <br/>&bull; The report from this endpoint wasn't received.
Dimension,Endpoint,Second OS Filtered,Operating System name and major and minor version reported by the second endpoint. This string can contain more than the OS name and version. <br/> **Example value:** Windows 10,,<br/>&bull; The endpoint didn't report this information <br/>&bull; The report from this endpoint wasn't received
Dimension,Endpoint,First OS Architecture,Hardware architecture reported by the first endpoint. <br/> **Example value:** x64,,&bull; The endpoint didn't report this information <br/>&bull; The report from this endpoint wasn't received <br/>&bull; The format of the architecture wasn't recognized
Dimension,Endpoint,Second OS Architecture,Hardware architecture reported by the second endpoint. <br/> **Example value:** x64,,&bull; The endpoint didn't report this information <br/>&bull; The report from this endpoint wasn't received <br/>&bull; The format of the architecture wasn't recognized
Dimension,Endpoint,First Virtualization Flag,Flag that indicates the type of virtualization environment reported by the first Skype for Business endpoint. Microsoft Teams endpoints only report 0 or 1 in this field. We recommend using the VDI dimensions for Microsoft Teams deployments.,,<br/>&bull; The endpoint didn't report this data
Dimension,Endpoint,Second Virtualization Flag,Flag that indicates the type of virtualization environment reported by the second Skype for Business endpoint. Microsoft Teams endpoints only report 0 or 1 in this field. We recommend using the VDI dimensions for Microsoft Teams deployments.,,<br/>&bull; The endpoint didn't report this data
Dimension,Endpoint,First VTC Device Name,The friendly name of the VTC device used by the first endpoint,,<br/>&bull; The endpoint didn't report this data <br/>&bull; Field is EUII and 28 days has passed
Dimension,Endpoint,Second VTC Device Name,The friendly name of the VTC device used by the second endpoint,,<br/>&bull; The endpoint didn't report this data <br/>&bull; Field is EUII and 28 days has passed
Dimension,Endpoint,First VTC Device Detail,"The platform and version information of the VTC device used by the first endpoint <br/> **Example value:** Tandberg, 529",,<br/>&bull; The endpoint didn't report this data
Dimension,Endpoint,Second VTC Device Detail,"The platform and version information of the VTC device used by the second endpoint <br/> **Example value:** Tandberg, 529",,<br/>&bull; The endpoint didn't report this data
Dimension,Endpoint,First Media Bypass,Indicates if the audio stream was bypassing the Teams service endpoint and flowing directly between the session border controller and first endpoint.,,&bull; Stream wasn't destined for a PSTN endpoint. <br/> &bull; Stream wasn't an audio stream.
Dimension,Endpoint,Second Media Bypass,Indicates if the audio stream was bypassing the Teams service endpoint and flowing directly between the session border controller and second endpoint.,,&bull; Stream wasn't destined for a PSTN endpoint. <br/> &bull; Stream wasn't an audio stream.
Dimension,Endpoint,First Endpoint Make,"Device manufacturer, information is read from an Endpoint Data file EndpointMake field.",,<br/>&bull; No data file for the endpoint
Dimension,Endpoint,First Endpoint Model,"Device model, information is read from an Endpoint Data file EndpointModel field.",,<br/>&bull; No data file for the endpoint
Dimension,Endpoint,First Endpoint Type,"Device type, information is read from an Endpoint Data file EndpointType field.",,<br/>&bull; No data file for the endpoint
Dimension,Endpoint,First Endpoint Label 1,"A customizable label, information is read from an Endpoint Data file.",,<br/>&bull; No data file for the endpoint
Dimension,Endpoint,First Endpoint Label 2,"A customizable label, information is read from an Endpoint Data file.",,<br/>&bull; No data file for the endpoint
Dimension,Endpoint,First Endpoint Label 3,"A customizable label, information is read from an Endpoint Data file.",,<br/>&bull; No data file for the endpoint
Dimension,Endpoint,Second Endpoint Make,"Device manufacturer, information is read from an Endpoint Data file EndpointName field.",,<br/>&bull; No data file for the endpoint
Dimension,Endpoint,Second Endpoint Model,"Device model, information is read from an Endpoint Data file EndpointModel field.",,<br/>&bull; No data file for the endpoint
Dimension,Endpoint,Second Endpoint Type,"Device type, information is read from an Endpoint Data file EndpointType field.",,<br/>&bull; No data file for the endpoint
Dimension,Endpoint,Second Endpoint Label 1,"A customizable label, information is read from an Endpoint Data file.",,<br/>&bull; No data file for the endpoint
Dimension,Endpoint,Second Endpoint Label 2,"A customizable label, information is read from an Endpoint Data file.",,<br/>&bull; No data file for the endpoint
Dimension,Endpoint,Second Endpoint Label 3,"A customizable label, information is read from an Endpoint Data file.",,<br/>&bull; No data file for the endpoint
Dimension,Endpoint,First ASN,Autonomous system number for the first endpoint. <br/> **Example value:** 8069,,<br/>&bull; Network data wasn't available to determine endpoint ASN
Dimension,Endpoint,Second ASN,Autonomous system number for the second endpoint. <br/> **Example value:** 8069,,<br/>&bull; Network data wasn't available to determine endpoint ASN
Dimension,Endpoint,First ASN ISP Name,Name of the ASN holder -- usually an internet service provider or ISP -- for the autonomous system number of the first endpoint. <br/> **Example value** Microsoft Corporation,,<br/>&bull; Network data wasn't available to determine endpoint ASN
Dimension,Endpoint,Second ASN ISP Name,Name of the ASN holder -- usually an internet service provider or ISP -- for the autonomous system number of the second endpoint. <br/> **Example value:** Microsoft Corporation,,<br/>&bull; Network data wasn't available to determine endpoint ASN
Dimension,Endpoint,First ASN Country Code,Country code for the Autonomous System Number determined for the first endpoint. <br/> **Example value:** US,,<br/>&bull; Network data wasn't available to determine endpoint ASN
Dimension,Endpoint,Second ASN Country Code,Country code for the Autonomous System Number determined for the second endpoint. <br/> **Example value:** US,,<br/>&bull; Network data wasn't available to determine endpoint ASN
Dimension,Endpoint,First ASN Country,Country name for the Autonomous System Number determined for the first endpoint. <br/> **Example value:** United States,,<br/>&bull; Network data wasn't available to determine endpoint ASN
Dimension,Endpoint,Second ASN Country,Country name for the Autonomous System Number determined for the second endpoint. <br/> **Example value:** United States,,<br/>&bull; Network data wasn't available to determine endpoint ASN
Dimension,Endpoint,First ASN City,City name for the Autonomous System Number determined for the first endpoint. <br/> **Example value:** Redmond,,<br/>&bull; Network data wasn't available to determine endpoint ASN
Dimension,Endpoint,Second ASN City,City name for the Autonomous System Number determined for the second endpoint. <br/> **Example value:** Redmond,,<br/>&bull; Network data wasn't available to determine endpoint ASN
Dimension,Endpoint,First ASN State,State name for the Autonomous System Number determined for the first endpoint. <br/> **Example value:** WA,,<br/>&bull; Network data wasn't available to determine endpoint ASN
Dimension,Endpoint,Second ASN State,State name for the Autonomous System Number determined for the second endpoint. <br/> **Example value:** WA,,<br/>&bull; Network data wasn't available to determine endpoint ASN
Dimension,Building,First Network,Subnet used for media stream by the first endpoint if the subnet exists in subnet to tenant building data. <br/> **Example value:** 10.0.1.12.0,,&bull; The endpoint didn't report network data <br/>&bull; Network isn't defined in subnet-mapping data.
Dimension,Building,First Network Name,Name of network used for media stream by first endpoint. Based on mapping subnet to tenant building data. <br/> **Example value:** USA/WA/REDMOND,,&bull; The endpoint didn't report network data <br/>&bull; Network isn't defined in subnet-mapping data
Dimension,Building,First Network Range,"Network prefix/range of the subnet used for the media stream by the first endpoint, based on data-mapping subnet to tenant building. <br/> **Example value:** 24",,&bull; The endpoint didn't report network data <br/>&bull; Network isn't defined in subnet-mapping data
Dimension,Building,First Building Name,Name of the building where the first endpoint was located based on mapping subnet to tenant building data.  <br/> **Example value:** Main,,&bull; The endpoint didn't report network data <br/>&bull; Network isn't defined in subnet-mapping data
Dimension,Building,First Ownership Type,Ownership type of the building where the first endpoint was located. Based on mapping subnet to tenant building data. <br/> **Example value:** Contoso-IT,,&bull; The endpoint didn't report network data <br/>&bull; Network isn't within the corporate network or network ownership isn't defined in subnet-mapping data
Dimension,Building,First Building Type,Type of building where the first endpoint was located based on mapping subnet to tenant building data. <br/> **Example value:** Open Office,,&bull; The endpoint didn't report network data <br/>&bull; Network isn't within corporate network <br/>&bull; Network building type isn't defined in subnet-mapping data
Dimension,Building,First Building Office Type,Type of building where the first endpoint was located based on mapping subnet to tenant building data. <br/> **Example value:** Open Office,,&bull; The endpoint didn't report network data <br/>&bull; Network isn't within corporate network <br/>&bull; Network building type isn't defined in subnet-mapping data
Dimension,Building,First City,City where the first endpoint was located based on mapping subnet to tenant building data. <br/> **Example value:** Redmond,,&bull; The endpoint didn't report network data <br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have a city defined in subnet-mapping data
Dimension,Building,First Zip Code,Zip/Postal code where the first endpoint was located based on mapping subnet to tenant building data. <br/> **Example value:** 98052,,&bull; The endpoint didn't report network data <br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have a zip code defined in subnet-mapping data
Dimension,Building,First Country,Country where the first endpoint was located based on mapping subnet to tenant building data. <br/> **Example value:** USA,,<br/>&bull; The endpoint didn't report network data<br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have a country defined in subnet-mapping data
Dimension,Building,First State,State where the first endpoint was located based on mapping subnet to tenant building data. <br/> **Example value:** WA,,<br/>&bull; The endpoint didn't report network data<br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have a State defined in subnet-mapping data.
Dimension,Building,First Region,Region where the first endpoint was located based on mapping subnet to tenant building data. <br/> **Example value:** North America,,<br/>&bull; The endpoint didn't report network data<br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have a region defined in subnet-mapping data.
Dimension,Building,First Express Route,"True if the subnet used for the media stream by the first endpoint is enabled for Azure ExpressRoute, based on mapping subnet to tenant building data. You can customize usage for other purposes if you decide to.",,&bull; The endpoint didn't report network data <br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have an ExpressRoute flag set in subnet-mapping data.
Dimension,Building,First Network Mapped VPN,"True if the subnet used for the media stream by the first endpoint is a VPN subnet, based on mapping subnet to tenant building data.",,&bull; The endpoint didn't report network data <br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have a VPN flag set in subnet-mapping data.
Dimension,Building,Second Network,Subnet used for media stream by second endpoint if subnet exists in subnet to tenant building data. <br/> **Example value:** 10.0.1.12.0,,&bull; The endpoint didn't report network data <br/>&bull; Network isn't defined in subnet-mapping data
Dimension,Building,Second Network Name,"Name of the network used for the media stream by the second endpoint, based on mapping subnet to tenant building data. <br/> **Example value:** USA/ WA/ REDMOND",,&bull; The endpoint didn't report network data <br/>&bull; Network doesn't have a network name defined in subnet-mapping data
Dimension,Building,Second Network Range,"Network prefix/range of the subnet used for the media stream by the second endpoint, based on mapping subnet to tenant building data. <br/> **Example value:** 24",,&bull; The endpoint didn't report network data <br/>&bull; Network doesn't have a network range defined in subnet-mapping data
Dimension,Building,Second Building Name,Name of the building where the second endpoint is located based on mapping subnet to tenant building data. <br/> **Example value:** Main,,<br/>&bull; The endpoint didn't report network data<br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have a building name defined in subnet-mapping data
Dimension,Building,Second Ownership Type,Ownership type of building where the second endpoint is located based on mapping subnet to tenant building data. <br/> **Example value:** Contoso — IT,,&bull; The endpoint didn't report network data<br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have ownership defined in subnet-mapping data
Dimension,Building,Second Building Type,Type of building where the second endpoint is located based on mapping subnet to tenant building data. <br/> **Example value:** Open Office,,<br/>&bull; The endpoint didn't report network data<br/>&bull; Network isn't within corporate network <br/>&bull; Network building type isn't defined in subnet-mapping data
Dimension,Building,Second Building Office Type,Office building type where the second endpoint is located based on mapping subnet to tenant building data. <br/> **Example value:** Office,,<br/>&bull; The endpoint didn't report network data<br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have a building office type defined in subnet-mapping data.
Dimension,Building,Second City,City where the second endpoint is located based on mapping subnet to tenant building data. <br/> **Example value:** Redmond,,<br/>&bull; The endpoint didn't report network data  <br/>&bull; Network isn't within corporate network  <br/>&bull; Network doesn't have a city defined in subnet-mapping data
Dimension,Building,Second Zip Code,Zip/Postal code where the second endpoint is located based on mapping subnet to tenant building data. <br/> **Example value:** 98052,,<br/>&bull; The endpoint didn't report network data <br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have a zip code defined in subnet-mapping data
Dimension,Building,Second Country,Country where the second endpoint is located based on mapping subnet to tenant building data. <br/> **Example value:** USA,,<br/>&bull; The endpoint didn't report network data<br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have country defined in subnet-mapping data
Dimension,Building,Second State,State where the second endpoint is located based on mapping subnet to tenant building data. <br/> **Example value:** WA,,<br/>&bull; The endpoint didn't report network data<br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have a state defined in subnet-mapping data
Dimension,Building,Second Region,Region where the second endpoint is located based on mapping subnet to tenant building data. <br/> **Example value:** North America,,<br/>&bull; The endpoint didn't report network data <br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have region defined in subnet-mapping data.
Dimension,Building,Second Express Route,"True if the subnet used for the media stream by the second endpoint is enabled for ExpressRoute, based on mapping subnet to tenant building data.",,<br/>&bull; The endpoint didn't report network data <br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have an ExpressRoute flag set in subnet-mapping data
Dimension,Building,Second Network Mapped VPN,"True if the subnet used for the media stream by the second endpoint is a VPN subnet, based on mapping subnet to tenant building data.",,&bull; The endpoint didn't report network data <br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have a VPN flag set in subnet-mapping data.
Dimension,Building,First Inside Corp,"Indicates if the first endpoint is on a subnet within the corporate network, based on mapping subnet to tenant building data. By default, the endpoint is considered Outside. <br/> **Example value:** Inside",,
Dimension,Building,Second Inside Corp,"Indicates if the second endpoint is on a subnet within the corporate network, based on mapping subnet to tenant building data. By default, the endpoint is considered Outside. <br/>**Example value:** Inside",,
Dimension,Deployment,First Tenant Id,Tenant ID for the first endpoint. <br/> **Example value:** 00000000 — 0000 -0000 - 0000 — 000000000000,,<br/>&bull; Tenant ID for the first endpoint couldn't be determined. A blank value here might indicate that the endpoint is signed in to an on-premises Skype for Business Server deployment.
Dimension,Deployment,Second Tenant Id,Tenant ID for the second endpoint. <br/> **Example value:** 00000000 — 0000 - 0000 - 0000 — 000000000000,,<br/>&bull; Tenant ID for the second endpoint couldn't be determined. A blank value here might indicate that the endpoint is signed in to an on-premises Skype for Business Server deployment.
Dimension,Deployment,First Pool,Skype for Business Online pool FQDN assigned to the first endpoint. <br/> **Example value:** pool1<span></span>.lync<span></span>.com,,<br/>&bull;  Indicates that the endpoint is signed in to a Microsoft Teams or Skype for Business. This field only populates for streams using on-premises Skype for Business Server deployments.
Dimension,Deployment,Second Pool,Skype for Business Online pool FQDN assigned to the second endpoint. <br/> **Example value:** <span>pool1.lync.com</span>,,&bull; Skype for Business Online pool couldn't be determined for the second endpoint. A blank value here might indicate that the endpoint is signed in to an on-premises Skype for Business Server deployment.
Dimension,Deployment,Is Federated,"True if streams are between two federated tenants, False otherwise.",,<br/>&bull; It couldn't be determined if the stream is federated <br/>&bull; Some signaling data isn't collected
Dimension,Deployment,Region,Region where the deployment is located based on the home region of the tenant. <br/> **Example value:** North America,,<br/>&bull; Network data not reported <br/>&bull; Network isn't within corporate network <br/>&bull; Network doesn't have region defined in subnet-mapping data.
Dimension,Stream,QoE Record Available,"True if at least one Quality of Experience report is available for call/session. Many dimensions and measurements are available only if a QoE record is available. If the call setup fails, a QoE record won't be available.",,
Dimension,Stream,CDR Record Available,True if at least one Call Detail Records is available for call/session.,,
Dimension,Stream,Media Line Label,"Label in SDP for media line. Use Media Type to determine if label is used for video, audio, app sharing, or video based screen sharing. <br/> **Example value:** 0",,&bull; The endpoint didn't report this data.
Dimension,Stream,Media Type,"Type of media (video, audio, app sharing, or video based screen sharing). <br/> **Example value:** Audio",,
Dimension,Stream,Media Line Label Text,The Session Description Protocol (SDP) Label Attribute of the media line corresponding to the stream. See [RFC 4574](https://tools.ietf.org/html/rfc4574) for more detailed info. <br/> **Example values**: <br/> main-audio<br/> main-video<br/> main-video1<br/> main-video2<br/> main-video3<br/> main-video4<br/> main-video5<br/> main-video6<br/> main-video7<br/> main-video8<br/> main-video9<br/> panoramic-video<br/> applicationsharing-video<br/> data,,
Dimension,Stream,First Is Server,"Indicates if the first endpoint is a server endpoint,  or a client endpoint. Types of servers include conferencing servers and mediation servers.",,
Dimension,Stream,Second Is Server,"Indicates if the second endpoint is a server endpoint, or a client endpoint. Types of servers include conferencing servers and mediation servers.",,
Dimension,Stream,First Is Caller,True if the first endpoint is the caller who initiated the session.,,
Dimension,Stream,First Network Connection Detail,Type of network used by the first endpoint.  <br/> **Example value:** Wired,,&bull; The endpoint didn't report data
Dimension,Stream,Second Network Connection Detail,Type of network used by the second endpoint.  <br/> **Example value:** Wired,,&bull; The endpoint didn't report data
Dimension,Stream,Stream Direction,Indicates the direction of a stream. <br/>&bull; **Example value:** First-to-Second,,&bull; No data was reported to indicate the direction of the stream
Dimension,Stream,Payload Description,Name of last codec used in the stream. <br/> **Example value:** SILKWide,,&bull; No data is available
Dimension,Stream,Audio and Video Call,"True if call had both audio and video streams, False otherwise",,&bull; No data was reported to indicate the media types of the stream.
Dimension,Stream,First QoE Record Available,True if the QoE Record for the first endpoint is reported to CQD.,,
Dimension,Stream,Second QoE Record Available,True if the QoE Record for the first endpoint is reported to CQD.,,
Dimension,Stream,Duration 5 seconds or less,"True if stream had duration of 5 seconds or less, False otherwise.",,
Dimension,Stream,Duration 60 seconds or more,"True if stream had duration of 60 seconds of more, False otherwise.",,
Dimension,Stream,Is Teams,True indicates that the first or second user agent for the stream is a Microsoft Teams endpoint. <br/> False indicates that the user agents are Skype for Business endpoints.,,
Dimension,Stream,Duration (Minutes),Duration of stream in minutes. Values grouped by range. <br/> **Example value:** 065: [3–4),,
Dimension,Stream,Duration (Seconds),Duration of stream in seconds. Values grouped by range. <br/> **Example value:** 062: [1 -2),,
Dimension,Date,End Time,Time of day the call ended. Values are reported in the UTC time zone.,,&bull; Call setup failed or wasn't established (see CDR Response Reason)
Dimension,Date,Year,Year of the end of the stream. Values are reported in the UTC time zone. <br/> **Example value:** 2018,,
Dimension,Date,Month,Month of the end of the stream. Values are reported in the UTC time zone. <br/> **Example value:** 2,,
Dimension,Date,Day,Day of the end of the stream. Values are reported in the UTC time zone. <br/> **Example value:** 1,,
Dimension,Date,Date,Date the stream ended. Values are reported in the UTC time zone. <br/> **Example value:** 2018-06-01,,
Dimension,Date,Hour,Hour of the end of the stream. Values are reported in the UTC time zone. <br/> **Example value:** 1,,
Dimension,Date,Minute,Minute of the end of the stream. Values are reported in the UTC time zone. <br/> **Example value:** 30,,
Dimension,Date,Second,Second of the end of the stream. Values are reported in the UTC time zone. <br/> **Example value:** 12,,
Dimension,Date,Day Of Year,Day of year of the end of the stream. Values are reported in the UTC time zone. <br/> **Example value:** 32,,
Dimension,Date,Day Of Week,Day of week of the end of the stream. Values are reported in the UTC time zone. <br/> **Example value:** Wednesday,,
Dimension,Date,Day Number Of Week,Day number of week of the end of the stream. Values are reported in the UTC time zone. <br/> **Example value:** 3,,
Dimension,Date,Week,Starting date of the week  in which the call took place. <br/> **Example value:** 2019-09-01,,&bull; Call setup failed or wasn't established (see CDR Response Reason)
Dimension,Date,Month Year,Month and year of the end of the stream. Values are reported in the UTC time zone. <br/> **Example value:** 2017-02,,
Dimension,Date,Full Month,Full Month of the end of the stream. Values are reported in the UTC time zone. <br/> **Example value:** 2017-02-01T00:00:00,,
Dimension,Date,Start Time,,,
Dimension,UserAgent,First Domain,"Domain of the first endpoint's user. If the first endpoint is a conference server, it uses the domain of the organizer of the meeting. Might also be the domain of service accounts used in scenario.  <br/> **Example value:** contoso<span></span>.com",,
Dimension,UserAgent,Second Domain,"Domain of the second endpoint's user. If the second endpoint is a conference server, it uses the domain of the organizer of the meeting. Might also be the domain of service accounts used in scenario. <br/> **Example value:** contoso<span></span>.com",,
Dimension,UserAgent,First User Agent Category,Category of the user agent of the first endpoint. <br/> **Example value:** OC,,&bull; A user agent doesn't currently have a mapping
Dimension,UserAgent,Second User Agent Category,Category of the user agent of the second endpoint. <br/> **Example value:** OC,,&bull; A user agent doesn't currently have a mapping
Dimension,UserAgent,First User Agent,User agent string of the first endpoint. <br/> **Example value:** UCCAPI/16.0.7766.5281 OC/16.0.7766.2047 (Skype for Business),,&bull; No user agent reported by first endpoint
Dimension,UserAgent,Second User Agent,User agent string of the second endpoint. <br/> **Example value:** UCCAPI/16.0.7766.5281 OC/16.0.7766.2047 (Skype for Business),,&bull; No user agent was reported by second endpoint
